name,sets,reps,rest_period_seconds,notes
Push-ups,3,8-12,60,Start with knee push-ups if needed; build upper body strength
Squats,3,12-15,45,Keep feet shoulder-width apart; great for functional strength
Burpees,3,5-8,90,Full body exercise; modify by stepping back instead of jumping
Mountain Climbers,3,20-30,60,Keep core engaged; excellent cardio workout
Lunges,3,10-12 each leg,60,Alternate legs; improves balance and leg strength
Plank,3,30-60 seconds,60,Hold steady position; core strengthening exercise
Jumping Jacks,3,15-20,45,Classic cardio exercise; can be done anywhere
High Knees,3,20-30,45,Bring knees to chest level; great warm-up exercise
Sit-ups,3,15-20,45,Traditional abdominal exercise; keep lower back pressed down
Tricep Dips,3,8-12,60,Use chair or bench; targets back of arms
Wall Sits,3,30-45 seconds,75,Back against wall; builds leg endurance
Calf Raises,3,15-20,30,Rise onto toes; strengthens lower legs
Superman,3,10-15,45,Lie face down lift chest and legs; strengthens back
Bicycle Crunches,3,20-30,45,Alternate elbow to opposite knee; targets obliques
Bear Crawl,3,10-15 steps,60,Crawl on hands and feet; full body coordination
Ampe,4,2-3 minutes,90,Traditional Ghanaian jumping game; excellent cardio and coordination
Pilolo,3,5-10 minutes,120,Hide and seek running game; builds endurance and agility
Oware Mental Training,1,15-20 minutes,0,Traditional board game; improves concentration and strategy
Adowa Dance,3,3-5 minutes,90,Traditional Ghanaian dance; cultural cardio workout
Kpanlogo Dance,3,4-6 minutes,90,Energetic Ga dance; full body rhythmic exercise
Azonto Dance,3,3-4 minutes,75,Popular modern Ghanaian dance; fun cardio workout
Sack Race Training,3,20-30 meters,90,Jump in sack; builds leg power and coordination
Three-Legged Race,3,15-20 meters,75,Partner coordination exercise; teamwork and balance
Tug of War,3,1-2 minutes,120,Team pulling exercise; builds grip and core strength
Rope Skipping,3,30-60 seconds,60,Traditional jumping rope; excellent cardio exercise
Stone Lifting,3,8-12,75,Lift and carry local stones; functional strength training
Water Pot Carrying,3,20-30 steps,90,Carry water pot on head; improves posture and core stability
Farming Simulation,3,2-3 minutes,90,Mimic hoeing and digging motions; functional movement patterns
Palm Nut Cracking Motion,3,15-20,45,Repetitive arm motion; strengthens forearms and shoulders
Mortar and Pestle Exercise,3,1-2 minutes,75,Pounding motion; builds arm and core strength
Football Drills,4,10-15 minutes,120,Dribbling and passing practice; improves agility and coordination
Basketball Shooting,3,10-15 shots,60,Practice shooting form; hand-eye coordination
Running Stairs,3,10-15 steps,90,Climb stairs quickly; builds leg power and cardio
Hill Sprints,3,15-20 seconds,120,Sprint uphill; high intensity interval training
Beach Running,1,10-20 minutes,0,Run on sand; low impact cardio with resistance
Swimming Strokes,3,25-50 meters,90,Front crawl or breaststroke; full body low impact exercise
Walking Meditation,1,15-30 minutes,0,Mindful walking; combines mental and light physical exercise
Stretching Routine,1,10-15 minutes,0,Full body flexibility; important for injury prevention
Yoga Flow,1,20-30 minutes,0,Basic yoga poses; flexibility and mindfulness
Tai Chi Movements,1,15-20 minutes,0,Slow controlled movements; balance and mental focus
Resistance Band Exercises,3,12-15,45,Use elastic bands; portable strength training
Bodyweight Squats Variations,3,10-15,60,Different squat styles; targets various muscle groups
Single Leg Stand,3,30-45 seconds each,45,Balance on one foot; improves stability and ankle strength
Step-ups,3,10-12 each leg,60,Step onto platform; functional leg strengthening
Box Jumps,3,5-8,90,Jump onto sturdy platform; explosive power development
Farmer's Walk,3,30-45 seconds,75,Carry weights while walking; grip and core strength
Dead Bug,3,8-10 each side,45,Lie on back move opposite arm and leg; core stability
Bird Dog,3,8-10 each side,45,On hands and knees extend opposite arm and leg; back strength
Glute Bridges,3,12-15,45,Lift hips from lying position; strengthens glutes and hamstrings
Side Plank,3,20-30 seconds each,60,Plank on side; targets obliques and core stability
Russian Twists,3,15-20,45,Seated twist with weight; oblique strengthening
Leg Raises,3,10-15,60,Lift legs from lying position; lower abdominal strength
Pike Push-ups,3,6-10,75,Inverted push-up position; shoulder and upper body strength
Push-ups,3,8-12,60,Start with knee push-ups if needed; build upper body strength
Squats,3,12-15,45,Keep feet shoulder-width apart; great for functional strength
Burpees,3,5-8,90,Full body exercise; modify by stepping back instead of jumping
Mountain Climbers,3,20-30,60,Keep core engaged; excellent cardio workout
Lunges,3,10-12 each leg,60,Alternate legs; improves balance and leg strength
Plank,3,30-60 seconds,60,Hold steady position; core strengthening exercise
Jumping Jacks,3,15-20,45,Classic cardio exercise; can be done anywhere
High Knees,3,20-30,45,Bring knees to chest level; great warm-up exercise
Sit-ups,3,15-20,45,Traditional abdominal exercise; keep lower back pressed down
Tricep Dips,3,8-12,60,Use chair or bench; targets back of arms
Wall Sits,3,30-45 seconds,75,Back against wall; builds leg endurance
Calf Raises,3,15-20,30,Rise onto toes; strengthens lower legs
Superman,3,10-15,45,Lie face down lift chest and legs; strengthens back
Bicycle Crunches,3,20-30,45,Alternate elbow to opposite knee; targets obliques
Bear Crawl,3,10-15 steps,60,Crawl on hands and feet; full body coordination
Ampe,4,2-3 minutes,90,Traditional Ghanaian jumping game; excellent cardio and coordination
Pilolo,3,5-10 minutes,120,Hide and seek running game; builds endurance and agility
Oware Mental Training,1,15-20 minutes,0,Traditional board game; improves concentration and strategy
Adowa Dance,3,3-5 minutes,90,Traditional Ghanaian dance; cultural cardio workout
Kpanlogo Dance,3,4-6 minutes,90,Energetic Ga dance; full body rhythmic exercise
Azonto Dance,3,3-4 minutes,75,Popular modern Ghanaian dance; fun cardio workout
Sack Race Training,3,20-30 meters,90,Jump in sack; builds leg power and coordination
Three-Legged Race,3,15-20 meters,75,Partner coordination exercise; teamwork and balance
Tug of War,3,1-2 minutes,120,Team pulling exercise; builds grip and core strength
Rope Skipping,3,30-60 seconds,60,Traditional jumping rope; excellent cardio exercise
Stone Lifting,3,8-12,75,Lift and carry local stones; functional strength training
Water Pot Carrying,3,20-30 steps,90,Carry water pot on head; improves posture and core stability
Farming Simulation,3,2-3 minutes,90,Mimic hoeing and digging motions; functional movement patterns
Palm Nut Cracking Motion,3,15-20,45,Repetitive arm motion; strengthens forearms and shoulders
Mortar and Pestle Exercise,3,1-2 minutes,75,Pounding motion; builds arm and core strength
Football Drills,4,10-15 minutes,120,Dribbling and passing practice; improves agility and coordination
Basketball Shooting,3,10-15 shots,60,Practice shooting form; hand-eye coordination
Running Stairs,3,10-15 steps,90,Climb stairs quickly; builds leg power and cardio
Hill Sprints,3,15-20 seconds,120,Sprint uphill; high intensity interval training
Beach Running,1,10-20 minutes,0,Run on sand; low impact cardio with resistance
Swimming Strokes,3,25-50 meters,90,Front crawl or breaststroke; full body low impact exercise
Walking Meditation,1,15-30 minutes,0,Mindful walking; combines mental and light physical exercise
Stretching Routine,1,10-15 minutes,0,Full body flexibility; important for injury prevention
Yoga Flow,1,20-30 minutes,0,Basic yoga poses; flexibility and mindfulness
Tai Chi Movements,1,15-20 minutes,0,Slow controlled movements; balance and mental focus
Resistance Band Exercises,3,12-15,45,Use elastic bands; portable strength training
Bodyweight Squats Variations,3,10-15,60,Different squat styles; targets various muscle groups
Single Leg Stand,3,30-45 seconds each,45,Balance on one foot; improves stability and ankle strength
Step-ups,3,10-12 each leg,60,Step onto platform; functional leg strengthening
Box Jumps,3,5-8,90,Jump onto sturdy platform; explosive power development
Farmer's Walk,3,30-45 seconds,75,Carry weights while walking; grip and core strength
Dead Bug,3,8-10 each side,45,Lie on back move opposite arm and leg; core stability
Bird Dog,3,8-10 each side,45,On hands and knees extend opposite arm and leg; back strength
Glute Bridges,3,12-15,45,Lift hips from lying position; strengthens glutes and hamstrings
Side Plank,3,20-30 seconds each,60,Plank on side; targets obliques and core stability
Russian Twists,3,15-20,45,Seated twist with weight; oblique strengthening
Leg Raises,3,10-15,60,Lift legs from lying position; lower abdominal strength
Pike Push-ups,3,6-10,75,Inverted push-up position; shoulder and upper body strength
Handstand Progression,3,30-60 seconds,90,Practice against wall; builds shoulder strength and balance
Pistol Squat Progression,3,3-8 each leg,90,Single leg squat; advanced unilateral strength
Turkish Get-ups,3,3-5 each side,120,Complex movement from lying to standing; full body coordination
Commando Crawl,3,10-15 meters,75,Army crawl on elbows; core and upper body endurance
Crab Walk,3,10-15 steps,60,Walk on hands and feet facing up; posterior chain strength
Duck Walk,3,15-20 steps,75,Deep squat walk; leg endurance and mobility
Frog Jumps,3,8-12,90,Jump forward in squat position; explosive leg power
Lizard Crawl,3,10-12 meters,75,Low crawl movement; full body coordination
Spider Crawl,3,8-10 meters,60,Crawl with wide arm and leg placement; mobility and strength
Traditional Wrestling Stance,3,1-2 minutes,90,Hold wrestling position; builds leg endurance and mental toughness
Kokonte Stirring Motion,3,2-3 minutes,75,Circular stirring motion with resistance; forearm and core strength
Gari Processing Simulation,3,1-2 minutes,60,Sieving and winnowing motions; shoulder and arm coordination
Fish Net Throwing,3,10-15 throws,75,Practice casting motion; rotational core strength
Drumming Exercises,4,3-5 minutes,90,Traditional drumming rhythms; hand coordination and endurance
Kente Weaving Posture,1,10-15 minutes,0,Seated weaving position hold; posture and core endurance
Market Load Carrying,3,20-30 steps,90,Carry imaginary load on head; functional strength and balance
Canoe Paddling Motion,3,2-3 minutes,60,Seated paddle simulation; core rotation and arm strength
Tree Climbing Simulation,3,8-12,90,Vertical climbing motions; grip and pulling strength
Yam Harvesting Motion,3,15-20,60,Digging and lifting simulation; functional movement patterns
Coconut Husking Motion,3,1-2 minutes,75,Repetitive husking movement; grip and forearm strength
Palm Wine Tapping Climb,3,30-45 seconds,90,Simulated tree climbing; grip and leg strength
Shea Butter Processing,3,2-3 minutes,60,Churning and mixing motions; arm and shoulder endurance
