Name,Type,Description,Meal_Type,Calories,Protein_Grams,Carbs_Grams,Fats_Grams,Portion_Size
Tuo Zaafi,Staple Foods & Grains,Traditional Ghanaian staple made from corn/millet flour,lunch,320,8.5,65.0,2.5,1 medium bowl (200g)
Banku,Staple Foods & Grains,Fermented corn and cassava dough staple food,lunch,280,6.2,58.0,1.8,1 medium ball (180g)
Fufu,Staple Foods & Grains,Pounded yams/cassava served as staple accompaniment,lunch,250,3.5,60.0,0.5,1 medium ball (150g)
Kenkey,Staple Foods & Grains,Fermented corn dough wrapped and steamed,lunch,200,5.0,42.0,1.2,1 piece (120g)
Rice and beans,Staple Foods & Grains,Popular combination of rice cooked with beans,lunch,350,12.0,58.0,4.5,1 cup (200g)
Jollof,Staple Foods & Grains,Boiled rice with stew - popular West African dish,lunch,380,8.0,65.0,8.5,1 cup (180g)
Fried rice,Staple Foods & Grains,Rice stir-fried with vegetables and seasonings,lunch,420,10.5,58.0,15.0,1 cup (180g)
Rice balls,Staple Foods & Grains,Formed rice portions served as staple,lunch,300,6.0,62.0,2.0,2 balls (150g)
Plain rice,Staple Foods & Grains,Simple boiled or steamed rice,lunch,260,5.5,55.0,0.8,1 cup (160g)
Yam,Staple Foods & Grains,Root vegetable prepared fried or boiled,lunch,180,2.5,42.0,0.2,1 medium piece (120g)
Sweet potato,Staple Foods & Grains,Sweet root vegetable rich in nutrients,lunch,160,3.2,37.0,0.1,1 medium piece (150g)
Plantain,Staple Foods & Grains,Large banana-like fruit used as vegetable,lunch,220,2.8,57.0,0.8,1 medium piece (140g)
Bread,Staple Foods & Grains,Baked wheat-based staple food,breakfast,240,8.0,45.0,3.5,2 slices (60g)
Biscuits,Staple Foods & Grains,Small baked wheat-based snacks,snack,180,3.5,28.0,6.5,3 pieces (40g)
Mashed kenkey,Staple Foods & Grains,Kenkey that has been mashed for easier consumption,lunch,200,5.0,42.0,1.2,1 cup (140g)
Maasa,Staple Foods & Grains,Fried corn dough - traditional snack,snack,250,4.5,38.0,9.0,2 pieces (80g)
Porridge,Staple Foods & Grains,Cooked cereal dish typically eaten for breakfast,breakfast,180,6.0,32.0,3.5,1 bowl (200g)
Fula,Staple Foods & Grains,Traditional food made from millet dough,lunch,210,7.0,40.0,2.8,1 cup (150g)
Zimkuom,Beverages,Local drink made from corn/millet flour,snack,120,2.5,25.0,1.0,1 cup (250ml)
Sobolo,Beverages,Roselle drink - herbal beverage made from hibiscus leaves,snack,45,0.8,11.0,0.1,1 cup (250ml)
Soft drinks,Beverages,Carbonated beverages like coca cola and plastic coloured soft drinks,snack,140,0.0,39.0,0.0,1 bottle (330ml)
Fan milk,Beverages,Popular local dairy beverage brand,snack,160,8.0,18.0,6.5,1 sachet (200ml)
Fan choco,Beverages,Chocolate-flavored milk drink,snack,180,7.5,22.0,7.0,1 sachet (200ml)
Tea,Beverages,Hot brewed beverage from tea leaves,breakfast,5,0.2,1.0,0.0,1 cup (250ml)
Coffee,Beverages,Hot brewed beverage from coffee beans,breakfast,10,0.5,1.5,0.1,1 cup (250ml)
Poha,Beverages,Local tamarind drink - traditional beverage,snack,80,1.2,20.0,0.3,1 cup (250ml)
Energy drink,Beverages,High-caffeine beverages like 5 star and Rush,snack,110,0.5,28.0,0.0,1 can (250ml)
Malts,Beverages,Malt-based beverages like guinness, Rasta, Magic,snack,150,2.0,32.0,0.2,1 bottle (330ml)
Bear,Beverages,Local pepper drink - spicy traditional beverage,snack,35,0.8,8.0,0.1,1 cup (200ml)
Fruit juice,Beverages,Packaged fruit juices,snack,120,0.5,30.0,0.2,1 cup (250ml)
Meat,Proteins,Red meat from cow, goat, sheep,lunch,280,26.0,0.0,18.5,100g serving
Fish and seafood,Proteins,Fresh and preserved fish and other seafood,lunch,220,28.0,0.0,11.0,100g serving
Poultry,Proteins,Chicken and other domestic birds,lunch,250,30.0,0.0,14.0,100g serving
Egg,Proteins,Chicken eggs and other bird eggs,breakfast,140,12.5,1.0,10.0,2 medium eggs (100g)
Milk,Proteins,Fresh dairy milk from cows or other animals,breakfast,150,8.0,12.0,8.0,1 cup (250ml)
Yoghurt,Proteins,Fermented dairy product,snack,120,10.0,15.0,3.5,1 cup (200g)
Waagashie,Proteins,Local cheese - traditional Ghanaian cheese,snack,180,15.0,2.0,12.0,50g serving
Soya/soy kebab,Proteins,Soya beans prepared as kebab or other forms,lunch,200,18.0,15.0,8.5,100g serving
Chocolate,Fruits,Sweet confection made from cocoa beans,snack,210,3.5,25.0,12.0,40g bar
Pineapple,Fruits,Tropical fruit with sweet and tangy flavor,snack,80,0.8,21.0,0.2,1 cup chunks (150g)
Watermelon,Fruits,Large juicy fruit with high water content,snack,45,0.9,11.0,0.2,1 cup chunks (150g)
Apple,Fruits,Common temperate fruit rich in fiber,snack,85,0.4,22.0,0.3,1 medium fruit (180g)
Orange,Fruits,Citrus fruit high in vitamin C,snack,65,1.2,16.0,0.2,1 medium fruit (150g)
Mango,Fruits,Sweet tropical fruit popular in Ghana,snack,90,1.2,23.0,0.4,1 cup sliced (150g)
Banana,Fruits,Yellow curved fruit high in potassium,snack,105,1.3,27.0,0.4,1 medium fruit (120g)
Avocado/pear,Fruits,Creamy green fruit rich in healthy fats,snack,160,2.0,9.0,15.0,half fruit (100g)
Pawpaw,Fruits,Orange tropical fruit also known as papaya,snack,55,0.9,14.0,0.2,1 cup chunks (150g)
Shea fruit,Fruits,Local fruit from the shea tree,snack,95,1.5,22.0,1.2,100g serving
Date,Fruits,Date fruit - sweet dried or fresh fruit,snack,110,1.8,30.0,0.2,5 pieces (40g)
Berries,Fruits,All kinds of small round fruits rich in antioxidants,snack,70,1.2,17.0,0.5,1 cup (120g)
Traditional vegetables,Vegetables,Local vegetables including bra leaves, ayoyo leaves, aleefu, tomato, red hot pepper, onions, baobab leaves, okro,lunch,35,3.5,6.5,0.5,1 cup cooked (120g)
Exotic vegetables,Vegetables,Non-indigenous vegetables like cabbage, lettuce, broccoli, carrots,lunch,25,2.2,5.0,0.3,1 cup mixed (100g)
