idx,age,gender,weight,height,activity level,dietary restrictions,allergies,fitness goals,available equipment,time commitment
0,34,Female,165 lbs,"5'6"",Moderate""",Vegetarian,,Weight Loss,"Resistance Bands, Dumbbells",30 minutes daily,
1,45,Male,200 lbs,"6'1"",High""",,Nuts,Muscle Gain,"Barbell Set, Treadmill",1 hour daily,
2,29,Non-Binary,140 lbs,"5'8"",Low""",Gluten-Free,Shellfish,Endurance,"Yoga Mat, Jump Rope",45 minutes daily,
3,50,Female,180 lbs,"5'4"",Moderate""",Vegan,Soy,Weight Loss,Exercise Bike,2 hours weekly,
4,23,Male,175 lbs,"5'11"",High""",,Lactose Intolerant,Muscle Gain,"Pull-Up Bar, Free Weights",1.5 hours daily,
5,28,Female,135 lbs,"5'7"",High""",Pescatarian,Gluten,Endurance,"Jump Rope, Rowing Machine",60 minutes daily,
6,37,Female,145 lbs,"5'7"",Low""",Paleo,Wheat,Endurance,"Swim Goggles, Fins",30 minutes daily,
7,42,Male,195 lbs,"5'10"",Low""",,Wheat,Endurance,Swimming Pool,30 minutes daily,
8,38,Male,210 lbs,"6'0"",Very High""",,Peanuts,Endurance,"Kettlebells, Running Shoes",1 hour daily,
9,27,Female,135 lbs,"5'2"",High""",Vegetarian,Eggs,Weight Loss,"Kettlebells, Yoga Mat",45 minutes daily,
10,27,Male,170 lbs,"5'10"",High""",Vegetarian,Peanuts,Weight Loss,"Medicine Ball, Resistance Bands",45 minutes daily,
11,38,Male,220 lbs,"5'10"",Low""",Dairy-Free,Peanuts,Endurance,"Medicine Ball, Jump Rope",60 minutes weekly,
12,38,Male,210 lbs,"5'10"",Low""",,Peanuts,Endurance,Swimming Gear,1 hour weekly,
13,38,Male,220 lbs,"5'10"",Low""",Low-Carb,Penicillin,Endurance,"Swimming Gear, Yoga Mat",45 minutes daily,
15,38,Male,220 lbs,"6'2"",Moderate""",,Wheat,Weight Loss,"Kettlebell Set, Treadmill",1 hour daily,
16,42,Male,210 lbs,"5'10"",High""",,Peanuts,Weight Loss,"Pull-Up Bar, Resistance Bands",1 hour daily,
17,31,Female,150 lbs,"5'5"",Moderate""",Vegetarian,Eggs,Weight Loss,"Pull-Ups, Kettlebells",1 hour daily,
18,26,Female,150 lbs,"5'7"",Moderate""",Low-Carb,,Weight Loss,"Jump Rope, Yoga Mat",30 minutes daily,
19,38,Male,220 lbs,"6'2"",Low""",,Shellfish,Endurance,Swimming Pool,1 hour daily,
20,38,Female,135 lbs,"5'5"",Moderate""",Low Carb,,Endurance,"Swimming Goggles, Jump Rope",1 hour daily,
21,27,Female,130 lbs,"5'2"",High""",Vegetarian,Eggs,Weight Loss,Stationary Bike,1 hour daily,
22,27,Female,135 lbs,"5'3"",High""",Lactose Intolerant,Shellfish,Weight Loss,"Kettlebells, Jump Rope",45 minutes daily,
23,27,Female,130 lbs,"5'2"",High""",Vegan,Eggs,Weight Loss,"Kettlebells, Jump Rope",1 hour daily,
25,47,Non-Binary,160 lbs,"5'9"",Low""",Vegetarian,Peanuts,Muscle Gain,"Pull-Ups Bar, Medicine Ball",30 minutes daily,
26,30,Non-Binary,130 lbs,"5'7"",Moderate""",Vegetarian,Shellfish,Muscle Gain,"Yoga Mat, Dumbbells",45 minutes daily,
27,27,Non-Binary,160 lbs,"5'7"",High""",Gluten-Free,Peanuts,Muscle Gain,"Resistance Bands, Medicine Ball",45 minutes daily,
28,42,Male,175 lbs,"5'10"",Low""",Vegetarian,Dairy,Muscle Gain,"Resistance Bands, Treadmill",45 minutes daily,
29,42,Non-Binary,155 lbs,"5'7"",Moderate""",Pescatarian,Gluten,Muscle Gain,"Stationary Bike, Resistance Bands",30 minutes daily,
